period_utc,from_ba,to_ba,net_mwh
2026-06-11 09:00:00+00:00,AZPS,WACM,1207.0637929373418
2026-06-11 09:00:00+00:00,BANC,CISO,-1165.9876559891165
2026-06-11 09:00:00+00:00,BPAT,PACW,1106.543278070666
2026-06-11 09:00:00+00:00,CISO,BANC,1205.6424008540228
2026-06-11 09:00:00+00:00,CISO,LDWP,1204.0446089329157
2026-06-11 09:00:00+00:00,CISO,NEVP,-1419.6506537692671
2026-06-11 09:00:00+00:00,CPLE,DUK,-1159.14806373301
2026-06-11 09:00:00+00:00,DUK,CPLE,1298.7631610926278
2026-06-11 09:00:00+00:00,ERCO,SWPP,1230.796190078381
2026-06-11 09:00:00+00:00,ISNE,NYIS,1235.7386674657112
2026-06-11 09:00:00+00:00,LDWP,CISO,-1229.3503155833548
2026-06-11 09:00:00+00:00,MISO,PJM,-1322.1451430743155
2026-06-11 09:00:00+00:00,MISO,SWPP,1205.993486841128
2026-06-11 09:00:00+00:00,NEVP,CISO,1307.1171851378242
2026-06-11 09:00:00+00:00,NYIS,ISNE,-1124.166149499422
2026-06-11 09:00:00+00:00,NYIS,PJM,-1128.5414292912942
2026-06-11 09:00:00+00:00,PACW,BPAT,-1071.9747806732935
2026-06-11 09:00:00+00:00,PJM,MISO,1171.6802189459074
2026-06-11 09:00:00+00:00,PJM,NYIS,1256.2810205679073
2026-06-11 09:00:00+00:00,SOCO,TVA,1439.9605275951399
2026-06-11 09:00:00+00:00,SWPP,ERCO,-1188.263463783036
2026-06-11 09:00:00+00:00,SWPP,MISO,-1243.4696205830417
2026-06-11 09:00:00+00:00,TVA,SOCO,-1406.503621099085
2026-06-11 09:00:00+00:00,WACM,AZPS,-1157.7461695321122
2026-06-11 10:00:00+00:00,AZPS,WACM,1700.0632984974177
2026-06-11 10:00:00+00:00,BANC,CISO,-1527.2904027277013
2026-06-11 10:00:00+00:00,BPAT,PACW,1642.003355549144
2026-06-11 10:00:00+00:00,CISO,BANC,1693.8057937309961
2026-06-11 10:00:00+00:00,CISO,LDWP,1532.8198493897526
2026-06-11 10:00:00+00:00,CISO,NEVP,-1587.5076853375936
2026-06-11 10:00:00+00:00,CPLE,DUK,-1413.0101068401882
2026-06-11 10:00:00+00:00,DUK,CPLE,1693.1876258153538
2026-06-11 10:00:00+00:00,ERCO,SWPP,1704.2268272689582
2026-06-11 10:00:00+00:00,ISNE,NYIS,1575.6288902462672
2026-06-11 10:00:00+00:00,LDWP,CISO,-1487.8809460842965
2026-06-11 10:00:00+00:00,MISO,PJM,-1565.1095495242314
2026-06-11 10:00:00+00:00,MISO,SWPP,1629.7618071546706
2026-06-11 10:00:00+00:00,NEVP,CISO,1489.5944052671443
2026-06-11 10:00:00+00:00,NYIS,ISNE,-1521.2540127386844
2026-06-11 10:00:00+00:00,NYIS,PJM,-1653.7088790502512
2026-06-11 10:00:00+00:00,PACW,BPAT,-1546.9453199651343
2026-06-11 10:00:00+00:00,PJM,MISO,1423.9950695989464
2026-06-11 10:00:00+00:00,PJM,NYIS,1640.4601109894497
2026-06-11 10:00:00+00:00,SOCO,TVA,1435.9961757825224
2026-06-11 10:00:00+00:00,SWPP,ERCO,-1583.880881201675
2026-06-11 10:00:00+00:00,SWPP,MISO,-1520.0593376858103
2026-06-11 10:00:00+00:00,TVA,SOCO,-1527.9360186242561
2026-06-11 10:00:00+00:00,WACM,AZPS,-1542.7448660289756
2026-06-11 11:00:00+00:00,AZPS,WACM,1750.3906051958324
2026-06-11 11:00:00+00:00,BANC,CISO,-1914.1728970740726
2026-06-11 11:00:00+00:00,BPAT,PACW,1856.5674335658032
2026-06-11 11:00:00+00:00,CISO,BANC,1982.2307182134407
2026-06-11 11:00:00+00:00,CISO,LDWP,1689.5280469212717
2026-06-11 11:00:00+00:00,CISO,NEVP,-1693.7963084446205
2026-06-11 11:00:00+00:00,CPLE,DUK,-1734.088886585468
2026-06-11 11:00:00+00:00,DUK,CPLE,1749.5039522497732
2026-06-11 11:00:00+00:00,ERCO,SWPP,1954.4074513031787
2026-06-11 11:00:00+00:00,ISNE,NYIS,1789.594129012878
2026-06-11 11:00:00+00:00,LDWP,CISO,-1898.4407042100909
2026-06-11 11:00:00+00:00,MISO,PJM,-1995.1453797386484
2026-06-11 11:00:00+00:00,MISO,SWPP,1691.017947545303
2026-06-11 11:00:00+00:00,NEVP,CISO,1649.6252863008178
2026-06-11 11:00:00+00:00,NYIS,ISNE,-1773.1175031071186
2026-06-11 11:00:00+00:00,NYIS,PJM,-1817.6153052429952
2026-06-11 11:00:00+00:00,PACW,BPAT,-1900.2226602327646
2026-06-11 11:00:00+00:00,PJM,MISO,1844.6185687319494
2026-06-11 11:00:00+00:00,PJM,NYIS,1862.1988499297743
2026-06-11 11:00:00+00:00,SOCO,TVA,1805.0652062369275
2026-06-11 11:00:00+00:00,SWPP,ERCO,-1847.005991796286
2026-06-11 11:00:00+00:00,SWPP,MISO,-1764.8178420401691
2026-06-11 11:00:00+00:00,TVA,SOCO,-1981.7986843194572
2026-06-11 11:00:00+00:00,WACM,AZPS,-1757.612516150385
2026-06-11 12:00:00+00:00,AZPS,WACM,2039.5622073029263
2026-06-11 12:00:00+00:00,BANC,CISO,-1851.375080284488
2026-06-11 12:00:00+00:00,BPAT,PACW,1950.3750679161085
2026-06-11 12:00:00+00:00,CISO,BANC,1873.7020721491594
2026-06-11 12:00:00+00:00,CISO,LDWP,2112.9952797678247
2026-06-11 12:00:00+00:00,CISO,NEVP,-1856.6878580005568
2026-06-11 12:00:00+00:00,CPLE,DUK,-1884.794615949408
2026-06-11 12:00:00+00:00,DUK,CPLE,1866.2022389962283
2026-06-11 12:00:00+00:00,ERCO,SWPP,1748.538807718996
2026-06-11 12:00:00+00:00,ISNE,NYIS,2039.9013840535783
2026-06-11 12:00:00+00:00,LDWP,CISO,-1967.596367527252
2026-06-11 12:00:00+00:00,MISO,PJM,-2025.1318398767103
2026-06-11 12:00:00+00:00,MISO,SWPP,1938.7924573593377
2026-06-11 12:00:00+00:00,NEVP,CISO,2066.5135784568283
2026-06-11 12:00:00+00:00,NYIS,ISNE,-2016.1445966517051
2026-06-11 12:00:00+00:00,NYIS,PJM,-1989.1646258173248
2026-06-11 12:00:00+00:00,PACW,BPAT,-1924.4518880737362
2026-06-11 12:00:00+00:00,PJM,MISO,2008.9528299044816
2026-06-11 12:00:00+00:00,PJM,NYIS,1896.4339404322443
2026-06-11 12:00:00+00:00,SOCO,TVA,1788.785332175599
2026-06-11 12:00:00+00:00,SWPP,ERCO,-1947.782702744258
2026-06-11 12:00:00+00:00,SWPP,MISO,-2056.3998245198823
2026-06-11 12:00:00+00:00,TVA,SOCO,-1961.732341394147
2026-06-11 12:00:00+00:00,WACM,AZPS,-1791.9329272350315
2026-06-11 13:00:00+00:00,AZPS,WACM,2077.500359622286
2026-06-11 13:00:00+00:00,BANC,CISO,-1931.0124761929394
2026-06-11 13:00:00+00:00,BPAT,PACW,1844.8293615299579
2026-06-11 13:00:00+00:00,CISO,BANC,1843.2529597261953
2026-06-11 13:00:00+00:00,CISO,LDWP,2065.854102261553
2026-06-11 13:00:00+00:00,CISO,NEVP,-2025.089625206135
2026-06-11 13:00:00+00:00,CPLE,DUK,-2008.464961584469
2026-06-11 13:00:00+00:00,DUK,CPLE,2057.200185464936
2026-06-11 13:00:00+00:00,ERCO,SWPP,1985.3017532776475
2026-06-11 13:00:00+00:00,ISNE,NYIS,1956.4293827558247
2026-06-11 13:00:00+00:00,LDWP,CISO,-1969.6321605191633
2026-06-11 13:00:00+00:00,MISO,PJM,-2133.357485468847
2026-06-11 13:00:00+00:00,MISO,SWPP,2130.950788943682
2026-06-11 13:00:00+00:00,NEVP,CISO,1913.6998355581563
2026-06-11 13:00:00+00:00,NYIS,ISNE,-2086.3240670846185
2026-06-11 13:00:00+00:00,NYIS,PJM,-1979.5279808861287
2026-06-11 13:00:00+00:00,PACW,BPAT,-1871.6836536592898
2026-06-11 13:00:00+00:00,PJM,MISO,1948.3840352589568
2026-06-11 13:00:00+00:00,PJM,NYIS,2056.984905639889
